[2026-03-23 21:06:37.706] [t:42453] [error] [connection.cpp:182] Async send exception: AsyncWriteV failed: Bad file descriptor
[2026-03-23 21:06:37.706] [t:42453] [error] [connection.cpp:182] Async send exception: AsyncWriteV failed: Bad file descriptor
[2026-03-23 21:06:37.706] [t:42453] [error] [connection.cpp:182] Async send exception: AsyncWriteV failed: Bad file descriptor
[2026-03-23 21:06:37.706] [t:42453] [error] [connection.cpp:182] Async send exception: AsyncWriteV failed: Bad file descriptor
[2026-03-23 21:06:37.706] [t:42453] [error] [connection.cpp:182] Async send exception: AsyncWriteV failed: Bad file descriptor
[2026-03-23 21:06:37.706] [t:42453] [error] [connection.cpp:182] Async send exception: AsyncWriteV failed: Bad file descriptor
[2026-03-23 21:06:37.706] [t:42453] [error] [connection.cpp:182] Async send exception: AsyncWriteV failed: Bad file descriptor
[2026-03-23 21:06:37.706] [t:42453] [error] [connection.cpp:182] Async send exception: AsyncWriteV failed: Bad file descriptor
[2026-03-23 21:06:37.706] [t:42453] [error] [connection.cpp:182] Async send exception: AsyncWriteV failed: Bad file descriptor
[2026-03-23 21:06:37.706] [t:42453] [error] [connection.cpp:182] Async send exception: AsyncWriteV failed: Bad file descriptor
[2026-03-23 21:06:37.706] [t:42453] [error] [connection.cpp:182] Async send exception: AsyncWriteV failed: Bad file descriptor
[2026-03-23 21:06:37.706] [t:42453] [error] [connection.cpp:182] Async send exception: AsyncWriteV failed: Bad file descriptor
[2026-03-23 21:06:37.706] [t:42453] [error] [connection.cpp:182] Async send exception: AsyncWriteV failed: Bad file descriptor
[2026-03-23 21:06:37.706] [t:42453] [error] [connection.cpp:182] Async send exception: AsyncWriteV failed: Bad file descriptor
[2026-03-23 21:06:37.706] [t:42453] [error] [connection.cpp:182] Async send exception: AsyncWriteV failed: Bad file descriptor
[2026-03-23 21:06:37.706] [t:42453] [error] [connection.cpp:182] Async send exception: AsyncWriteV failed: Bad file descriptor
[2026-03-23 21:06:37.706] [t:42453] [error] [connection.cpp:182] Async send exception: AsyncWriteV failed: Bad file descriptor
[2026-03-23 21:06:37.706] [t:42453] [error] [connection.cpp:182] Async send exception: AsyncWriteV failed: Bad file descriptor
[2026-03-23 21:06:37.706] [t:42453] [error] [connection.cpp:182] Async send exception: AsyncWriteV failed: Bad file descriptor
[2026-03-23 21:06:37.706] [t:42453] [error] [connection.cpp:182] Async send exception: AsyncWriteV failed: Bad file descriptor
[2026-03-23 21:06:37.706] [t:42453] [error] [connection.cpp:182] Async send exception: AsyncWriteV failed: Bad file descriptor
[2026-03-23 21:06:37.706] [t:42453] [error] [connection.cpp:182] Async send exception: AsyncWriteV failed: Bad file descriptor
[2026-03-23 21:06:37.706] [t:42453] [error] [connection.cpp:182] Async send exception: AsyncWriteV failed: Bad file descriptor
[2026-03-23 21:06:37.706] [t:42453] [error] [connection.cpp:182] Async send exception: AsyncWriteV failed: Bad file descriptor
